provider_code,institution_name,cricos_course_code,course_name,dual_qualification,foe_broad,foe_narrow,foe_detailed,course_level,foundation_studies,work_component,duration_weeks,course_language,tuition_fee,expired
00026A,The University of Sydney,000515F,Doctor of Philosophy in Education,No,07 - Education,0799 - Other Education,"079999 - Education, n.e.c.",Doctoral Degree,No,No,208,English,"$217,300.00",No
00026A,The University of Sydney,000658B,Bachelor of Agricultural Economics,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Degree,No,Yes,208,English,"$213,360.00",No
00026A,The University of Sydney,000659A,Bachelor of Science in Agriculture,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Bachelor Degree,No,Yes,208,English,"$213,360.00",No
00026A,The University of Sydney,000665C,Doctor of Philosophy in Agriculture,No,"05 - Agriculture, Environmental and Related Studies",0501 - Agriculture,"050199 - Agriculture, n.e.c.",Doctoral Degree,No,No,208,English,"$232,610.00",No
00026A,The University of Sydney,000669K,Bachelor of Veterinary Science,No,06 - Health,0611 - Veterinary Studies,061101 - Veterinary Science,Bachelor Degree,No,Yes,260,English,"$370,600.00",No
00026A,The University of Sydney,000671E,Bachelor of Laws,No,09 - Society and Culture,0909 - Law,"090999 - Law, n.e.c.",Bachelor Degree,No,No,156,English,"$174,000.00",No
00026A,The University of Sydney,000674B,Master of Education,No,07 - Education,0701 - Teacher Education,070111 - Teacher Education: Higher Education,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,000677K,Master of Urban and Regional Planning,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Masters Degree (Coursework),No,No,78,English,"$75,300.00",No
00026A,The University of Sydney,000681C,Master of Urban Design,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Masters Degree (Coursework),No,No,78,English,"$75,300.00",No
00026A,The University of Sydney,000682B,Master of Heritage Conservation,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Masters Degree (Coursework),No,No,78,English,"$75,300.00",No
00026A,The University of Sydney,000685K,"Master of Philosophy (Architecture, Design and Planning)",No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Masters Degree (Research),No,No,104,English,"$105,400.00",No
00026A,The University of Sydney,000694J,Graduate Diploma in Urban Design,No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Graduate Diploma,No,No,52,English,"$49,700.00",No
00026A,The University of Sydney,000700E,Doctor of Philosophy in Arts,No,09 - Society and Culture,0903 - Studies in Human Society,090305 - History,Doctoral Degree,No,No,208,English,"$217,300.00",No
00026A,The University of Sydney,000703B,Doctor of Philosophy (Engineering),No,03 - Engineering and Related Technologies,0303 - Process and Resources Engineering,030301 - Chemical Engineering,Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,000704A,Doctor of Philosophy (Business),No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,000705M,Bachelor of Arts,No,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,156,English,"$162,300.00",No
00026A,The University of Sydney,000706K,Bachelor of Social Work,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,Yes,208,English,"$235,500.00",No
00026A,The University of Sydney,000708G,Study Abroad Program (1 semester),No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",Non AQF Award,No,No,26,English,"$12,600.00",No
00026A,The University of Sydney,000718F,Bachelor of Engineering,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,000719E,Bachelor of Science,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",Bachelor Degree,No,No,156,English,"$187,300.00",No
00026A,The University of Sydney,000722K,Doctor of Philosophy (Science),No,01 - Natural and Physical Sciences,0103 - Physics and Astronomy,010301 - Physics,Doctoral Degree,No,No,208,English,"$244,500.00",No
00026A,The University of Sydney,000723J,Bachelor of Pharmacy,No,06 - Health,0605 - Pharmacy,060501 - Pharmacy,Bachelor Degree,No,Yes,208,English,"$253,500.00",No
00026A,The University of Sydney,001292G,Bachelor of Education (Primary),No,07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,Bachelor Degree,No,Yes,208,English,"$241,400.00",No
00026A,The University of Sydney,002460M,Conservatorium Preparatory Course,No,12 - Mixed Field Programmes,1201 - General Education Programmes,"120199 - General Education Programmes, n.e.c.",Non AQF Award,No,No,52,English,,No
00026A,The University of Sydney,002748F,Graduate Diploma in Rehabilitation Counselling,No,06 - Health,0617 - Rehabilitation Therapies,"061700 - Rehabilitation Therapies, n.f.d.",Graduate Diploma,No,Yes,52,English,"$61,700.00",No
00026A,The University of Sydney,003336G,Bachelor of Economics,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Degree,No,No,156,English,"$174,000.00",No
00026A,The University of Sydney,003519M,"Doctor of Philosophy (Architecture, Design and Planning)",No,04 - Architecture and Building,0401 - Architecture and Urban Environment,"040199 - Architecture and Urban Environment, n.e.c.",Doctoral Degree,No,No,208,English,"$217,300.00",No
00026A,The University of Sydney,006430G,Graduate Diploma in Urban & Regional Planning (Heritage Conservation/Housing Studies),No,04 - Architecture and Building,0401 - Architecture and Urban Environment,040103 - Urban Design and Regional Planning,Graduate Diploma,No,No,52,English,"$49,700.00",No
00026A,The University of Sydney,006434C,Doctor of Philosophy in Dentistry,No,06 - Health,0607 - Dental Studies,060701 - Dentistry,Doctoral Degree,No,Yes,208,English,"$244,500.00",No
00026A,The University of Sydney,006436A,Master of International Studies,No,08 - Management and Commerce,0803 - Business and Management,080311 - International Business,Masters Degree (Coursework),No,No,52,English,"$54,100.00",No
00026A,The University of Sydney,006441D,Bachelor of Arts / Bachelor of Laws,Yes,09 - Society and Culture,0999 - Other Society and Culture,"099999 - Society and Culture, n.e.c.",Bachelor Degree,No,No,260,English,"$298,800.00",No
