cricos_course_code,course_name,course_level,best_website_match,match_score
000723J,Bachelor of Pharmacy,Bachelor Degree,bachelor-of-pharmacy-honours-and-master-of-pharmacy-practice,0.4
002748F,Graduate Diploma in Rehabilitation Counselling,Graduate Diploma,graduate-diploma-in-biostatistics,0.4
008406B,Master of Jurisprudence,Masters Degree (Coursework),master-of-architecture,0.33
0101899,Bachelor of Veterinary Biology (Exit Only),Bachelor Degree,bachelor-of-veterinary-biology-and-doctor-of-veterinary-medicine0,0.43
022312B,Master of Information Technology,Masters Degree (Coursework),master-of-business-administration-technology-and-digital-strategy,0.29
022575A,Doctor of Education,Doctoral Degree,juris-doctor,0.33
039120D,Bachelor of Information Technology,Bachelor Degree,bachelor-of-commerce0,0.25
039122B,Graduate Certificate in Information Technology,Graduate Certificate,graduate-certificate-in-biostatistics,0.4
039123A,Graduate Diploma in Information Technology,Graduate Diploma,graduate-diploma-in-biostatistics,0.4
039857G,Doctor of Philosophy (Behavioural and Community Health Sciences),Doctoral Degree,doctor-of-philosophy-business0,0.29
040574G,Bachelor of Information Techonology (Honours),Bachelor Honours Degree,bachelor-of-arts-honours,0.4
045008J,Doctor of Social Sciences,Doctoral Degree,doctor-of-philosophy-arts-and-social-sciences0,0.33
045477B,Graduate Diploma in Social Work,Graduate Diploma,graduate-diploma-in-social-justice-development-studies,0.43
045478A,Doctor of Social Work,Doctoral Degree,master-of-social-work-qualifying,0.4
047794F,Master of Physiotherapy,Masters Degree (Coursework),master-of-architecture,0.33
048509G,Master of Design Science (Building Services),Masters Degree (Coursework),master-of-building-performance-and-sustainable-design,0.43
048514M,Master of Design Science (Illumination Design),Masters Degree (Coursework),master-of-interaction-design-and-electronic-arts-illumination-design,0.43
050004D,Master of Pharmacy,Masters Degree (Coursework),bachelor-of-pharmacy-honours-and-master-of-pharmacy-practice,0.4
052757B,Master of Applied Science (Health Sciences),Masters Degree (Research),master-of-science-in-medicine-metabolic-health,0.43
052970G,Doctor of Philsophy in Engineering (Cotutelle),Doctoral Degree,doctor-of-philosophy-engineering,0.4
052971G,Doctor of Philsophy in Arts ( Cotutelle),Doctoral Degree,bachelor-of-arts-and-doctor-of-medicine,0.33
053656K,Master of Design Science (Building)(Audio/Building Services/Design Computing/Digital Media/Facilities),Masters Degree (Coursework),master-of-building-performance-and-sustainable-design,0.25
053657J,Master of Design Science (Building Services) (Audio/Building/Design Computing/Digital Media/Facilities),Masters Degree (Coursework),master-of-building-performance-and-sustainable-design,0.25
053661B,Master of Design Science (Illumination Design)(Audio/Building Services/Design Computing/Digital Media/Facilities),Masters Degree (Coursework),master-of-building-performance-and-sustainable-design,0.23
053662A,Master of Design Science (Sustainable Design)(Audio/Building Services/Building/Design Computing/Digital Media/Facilities),Masters Degree (Coursework),master-of-building-performance-and-sustainable-design,0.33
054072D,Master of Design Science (Design Computing) ( Honours),Masters Degree (Coursework),bachelor-of-design-in-architecture-honours-and-master-of-architecture,0.43
054073C,Master of Design Science (Digital Media) (Honours),Masters Degree (Coursework),bachelor-of-design-in-architecture-honours-and-master-of-architecture,0.38
054076M,Master of Design Science (Sustainable Design) (Honours),Masters Degree (Coursework),master-of-building-performance-and-sustainable-design,0.43
054857D,Master of Learning Sciences & Technology,Masters Degree (Coursework),master-of-brain-and-mind-sciences,0.33
055326A,Master of Crosscultural Communication,Masters Degree (Coursework),master-of-digital-communication-and-culture,0.4
058176G,Graduate Diploma in Learning Sciences and Technology,Graduate Diploma,graduate-diploma-in-brain-and-mind-sciences,0.43
058184G,Master of English Language in Australia,Masters Degree (Coursework),master-of-english-studies,0.4
058697E,Doctor of Philosophy in Health Sciences,Doctoral Degree,doctor-of-philosophy-business0,0.4
060909B,Graduate Certificate in Design Science (Audio and Acoustics),Graduate Certificate,graduate-certificate-in-urban-design,0.43
060910J,Grauate Diploma in Design Science (Audio and Acoustics),Graduate Diploma,master-of-interaction-design-and-electronic-arts-audio-and-acoustics,0.3
060913F,Master of Design Science (Audio and Acoustics) (Honours),Masters Degree (Coursework),master-of-interaction-design-and-electronic-arts-audio-and-acoustics,0.44
062100E,Bachelor of Information Technologies and Bachelor of Commerce,Bachelor Degree,bachelor-of-commerce-and-bachelor-of-science0,0.4
062564F,Doctor of Philosophy in Education (Cotutelle),Doctoral Degree,doctor-of-philosophy-business0,0.4
062970C,Master of Marketing,Masters Degree (Coursework),master-of-architecture,0.33
063100G,Master of Management (Community of European Management Schools),Masters Degree (Coursework),master-of-management,0.4
063204M,Master of Rehabilitation Counselling,Masters Degree (Coursework),master-of-architecture,0.25
066136E,Graduate Certificate in Innovation & Enterprise,Graduate Certificate,graduate-certificate-in-biostatistics,0.4
068694C,Master of Sustainability,Masters Degree (Coursework),master-of-engineering-sustainability-and-environmental-engineering0,0.4
068767B,Bachelor of Information Technology and Bachelor of Law,Bachelor Degree,bachelor-of-commerce0,0.2
068768A,Graduate Diploma in Cancer and Haematology Nursing,Graduate Diploma,graduate-diploma-in-biostatistics,0.33
068770G,Graduate Diploma in Emergency Nursing,Graduate Diploma,graduate-diploma-in-biostatistics,0.4
068771F,Graduate Diploma in Intensive Care Nursing,Graduate Diploma,graduate-diploma-in-medicine-critical-care-medicine,0.43
068774C,Bachelor of Environmental Systems,Bachelor Degree,bachelor-of-engineering-honours-environmental-engineering,0.4
078876C,Doctor of Philosophy in Agriculture (Cotutelle),Doctoral Degree,doctor-of-philosophy-business0,0.4
078881F,Doctor of Philosophy in Law (Cotutelle),Doctoral Degree,doctor-of-philosophy-business0,0.4
